"Date","Maximum Temperature (degF)","Precipitation (in)","Mean Temperature (degF)","Cooling Degree Days","Minimum Temperature (degF)","Heating Degree Days","Snowfall (in)","Growing Degree Days","Snow Depth (in)"
"2000-01-01","-8","","-16.5","0","-25","81","","0",""
"2000-01-02","7","","-10","0","-27","75","","0",""
"2000-01-03","15","0.13","11","0","7","54","","0",""
"2000-01-04","16","0.02","13","0","10","52","","0",""
"2000-01-05","13","","2","0","-9","63","","0",""
"2000-01-06","22","0.23","14.5","0","7","50","","0",""
"2000-01-07","24","0.21","21.5","0","19","43","","0",""
"2000-01-08","22","0.11","11.5","0","1","53","","0",""
"2000-01-09","13","","2","0","-9","63","","0",""
"2000-01-10","11","","-4.5","0","-20","69","","0",""
"2000-01-11","6","","-7.5","0","-21","72","","0",""
"2000-01-12","4","0","-13","0","-30","78","","0",""
"2000-01-13","1","","-13","0","-27","78","","0",""
"2000-01-14","5","0.02","-3.5","0","-12","68","","0",""
"2000-01-15","2","","-9","0","-20","74","","0",""
"2000-01-16","2","0","-11","0","-24","76","","0",""
"2000-01-17","10","","-2.5","0","-15","67","","0",""
"2000-01-18","21","0.01","15.5","0","10","49","","0",""
"2000-01-19","29","0.56","25","0","21","40","","0",""
"2000-01-20","26","","13","0","0","52","","0",""
"2000-01-21","24","","22","0","20","43","","0",""
"2000-01-22","32","0.05","26.5","0","21","38","","0",""
"2000-01-23","36","0.01","27.5","0","19","37","","0",""
"2000-01-24","36","0.13","29.5","0","23","35","","0",""
"2000-01-25","25","0.01","18","0","11","47","","0",""
"2000-01-26","32","0.15","27.5","0","23","37","","0",""
"2000-01-27","32","0.27","25.5","0","19","39","","0",""
"2000-01-28","21","0.09","18","0","15","47","","0",""
"2000-01-29","16","","4.5","0","-7","60","","0",""
"2000-01-30","23","0.04","12.5","0","2","52","","0",""
"2000-01-31","19","0.42","16.5","0","14","48","","0",""
"2000-02-01","23","0.15","8","0","-7","57","","0",""
"2000-02-02","39","0.01","30.5","0","22","34","","0",""
"2000-02-03","35","0.27","27.5","0","20","37","","0",""
"2000-02-04","30","","23","0","16","42","","0",""
"2000-02-05","34","0.02","31.5","0","29","33","","0",""
"2000-02-06","36","0.02","34.5","0","33","30","","0",""
"2000-02-07","38","0","34","0","30","31","","0",""
"2000-02-08","34","0.02","30.5","0","27","34","","0",""
"2000-02-09","35","","29","0","23","36","","0",""
"2000-02-10","33","0","24.5","0","16","40","","0",""
"2000-02-11","27","0","18.5","0","10","46","","0",""
"2000-02-12","34","0","25","0","16","40","","0",""
"2000-02-13","32","0","19.5","0","7","45","","0",""
"2000-02-14","23","","12.5","0","2","52","","0",""
"2000-02-15","23","0","10.5","0","-2","54","","0",""
"2000-02-16","30","0","22","0","14","43","","0",""
"2000-02-17","32","","29.5","0","27","35","","0",""
"2000-02-18","33","0","30","0","27","35","","0",""
"2000-02-19","36","0.01","34","0","32","31","","0",""
"2000-02-20","35","0.15","31.5","0","28","33","","0",""
"2000-02-21","33","0.01","25","0","17","40","","0",""
"2000-02-22","27","0","15.5","0","4","49","","0",""
"2000-02-23","23","","11","0","-1","54","","0",""
"2000-02-24","27","0","18.5","0","10","46","","0",""
"2000-02-25","29","0","21.5","0","14","43","","0",""
"2000-02-26","29","0","19","0","9","46","","0",""
"2000-02-27","33","0","25","0","17","40","","0",""
"2000-02-28","37","0","32","0","27","33","","0",""
"2000-02-29","38","0","31","0","24","34","","0",""
"2000-03-01","34","0","26","0","18","39","","0",""
"2000-03-02","34","0","25","0","16","40","","0",""
"2000-03-03","37","0.04","33.5","0","30","31","","0",""
"2000-03-04","42","0.03","33","0","24","32","","0",""
"2000-03-05","38","0","26","0","14","39","","0",""
"2000-03-06","35","0","27.5","0","20","37","","0",""
"2000-03-07","35","0","22","0","9","43","","0",""
"2000-03-08","32","0","21","0","10","44","","0",""
"2000-03-09","32","0","23","0","14","42","","0",""
"2000-03-10","29","0","20","0","11","45","","0",""
"2000-03-11","29","0","27","0","25","38","","0",""
"2000-03-12","35","0","30","0","25","35","","0",""
"2000-03-13","38","0","33.5","0","29","31","","0",""
"2000-03-14","38","0","35.5","0","33","29","","0",""
"2000-03-15","37","0","33.5","0","30","31","","0",""
"2000-03-16","38","0.01","35","0","32","30","","0",""
"2000-03-17","36","0.01","32","0","28","33","","0",""
"2000-03-18","34","0","26","0","18","39","","0",""
"2000-03-19","38","0","27.5","0","17","37","","0",""
"2000-03-20","40","0.01","35.5","0","31","29","","0",""
"2000-03-21","39","0.04","32.5","0","26","32","","0",""
"2000-03-22","40","","33","0","26","32","","0",""
"2000-03-23","42","0.01","36.5","0","31","28","","0",""
"2000-03-24","36","0.06","31.5","0","27","33","","0",""
