Date (UTC),Type Source,Stage
1981-07-27 18:00:00,RV,10.86
1981-07-28 18:00:00,RV,10.79
1981-07-29 18:00:00,RV,10.42
1981-07-30 18:00:00,RV,9.23
1981-07-31 18:00:00,RV,10.17
1981-08-01 18:00:00,RV,8.61
1981-08-04 18:00:00,RV,10.5
1981-08-05 18:00:00,RV,10.78
1981-08-12 18:00:00,RV,11.99
1981-08-13 18:00:00,RV,11.96
1981-08-14 18:00:00,RV,11.96
1981-08-15 18:00:00,RV,11.91
1981-08-17 18:00:00,RV,11.91
1981-08-18 18:00:00,RV,11.46
1981-08-19 18:00:00,RV,11
1981-08-20 18:00:00,RV,10.68
1981-08-21 18:00:00,RV,10.54
1981-08-22 18:00:00,RV,10.54
1981-08-23 18:00:00,RV,10.5
1981-08-24 18:00:00,RV,10.5
1981-08-25 18:00:00,RV,10.5
1981-08-26 18:00:00,RV,10.34
1981-08-27 18:00:00,RV,9.86
1981-08-29 18:00:00,RV,10.06
1981-08-30 18:00:00,RV,8.53
1981-08-31 18:00:00,RV,9.94
1981-09-01 18:00:00,RV,9.48
1981-09-02 18:00:00,RV,9.31
1981-09-03 18:00:00,RV,9.06
1981-09-04 18:00:00,RV,11.86
1981-09-05 18:00:00,RV,8.96
1981-09-06 18:00:00,RV,8.77
1981-09-07 18:00:00,RV,8.81
1981-09-08 18:00:00,RV,8.77
1981-09-09 18:00:00,RV,8.93
1981-09-10 18:00:00,RV,8.67
1981-09-11 18:00:00,RV,8.65
1981-09-13 18:00:00,RV,8.93
1981-09-14 18:00:00,RV,8.21
1981-09-15 18:00:00,RV,8.07
1981-09-16 18:00:00,RV,8.11
1981-09-17 18:00:00,RV,8.11
1981-09-18 18:00:00,RV,8.48
1981-09-21 18:00:00,RV,8.76
1981-09-22 18:00:00,RV,8.93
1981-09-23 18:00:00,RV,8.65
1981-09-24 18:00:00,RV,8.48
1981-09-25 18:00:00,RV,8.32
1981-09-27 18:00:00,RV,8.07
1981-09-28 18:00:00,RV,7.62
1981-09-29 18:00:00,RV,7.59
1981-09-30 18:00:00,RV,7.1
1981-10-01 18:00:00,RV,6.9
1981-10-02 18:00:00,RV,6.68
1981-10-05 18:00:00,RV,6.04
1981-10-06 18:00:00,RV,5.81
1981-10-08 18:00:00,RV,5.67
1981-10-09 18:00:00,RV,6.04
1981-10-10 18:00:00,RV,5.2
1981-10-11 18:00:00,RV,5.34
1981-10-12 18:00:00,RV,5.34
1981-10-13 18:00:00,RV,5.29
1981-10-14 18:00:00,RV,5.29
1981-10-15 18:00:00,RV,5.09
1981-10-16 18:00:00,RV,4.88
1981-10-17 18:00:00,RV,4.96
1981-10-18 18:00:00,RV,4.98
1981-10-19 18:00:00,RV,5.12
1981-10-20 18:00:00,RV,4.87
1981-10-21 18:00:00,RV,5.12
1981-10-22 18:00:00,RV,5.05
1981-10-23 18:00:00,RV,5.05
1981-10-24 18:00:00,RV,5.17
1981-10-25 18:00:00,RV,5.36
1981-10-26 18:00:00,RV,5.31
1981-10-27 18:00:00,RV,5.31
1981-10-29 18:00:00,RV,5.31
1981-10-30 18:00:00,RV,5.31
1981-11-01 18:00:00,RV,5.24
1981-11-02 18:00:00,RV,5.09
1981-11-03 18:00:00,RV,4.88
1981-11-04 18:00:00,RV,4.88
1981-11-05 18:00:00,RV,4.91
1981-11-06 18:00:00,RV,4.88
1981-11-07 18:00:00,RV,4.75
1981-11-08 18:00:00,RV,4.75
1981-11-09 18:00:00,RV,4.82
1981-11-10 18:00:00,RV,5.09
1981-11-11 18:00:00,RV,5.6
1981-11-12 18:00:00,RV,5.83
1981-11-15 18:00:00,RV,5.36
1981-11-18 18:00:00,RV,5.22
1982-04-28 18:00:00,RV,2.37
1982-04-29 18:00:00,RV,2.4
1982-04-30 18:00:00,RV,2.44
1982-05-01 18:00:00,RV,2.46
1982-05-02 18:00:00,RV,2.6
1982-05-03 18:00:00,RV,2.52
1982-05-04 18:00:00,RV,2.74
1982-05-05 18:00:00,RV,2.67
1982-05-06 18:00:00,RV,2.61
1982-05-07 18:00:00,RV,2.63
1982-05-08 18:00:00,RV,2.74
1982-05-09 18:00:00,RV,2.63
1982-05-10 18:00:00,RV,2.74
1982-05-11 18:00:00,RV,2.92
1982-05-12 18:00:00,RV,3.06
1982-05-13 18:00:00,RV,3.1
1982-05-14 18:00:00,RV,3.16
1982-05-15 18:00:00,RV,3.23
1982-05-16 18:00:00,RV,3.43
1982-05-17 18:00:00,RV,3.47
1982-05-19 18:00:00,RV,3.72
1982-05-20 18:00:00,RV,3.72
1982-05-21 18:00:00,RV,3.75
1982-05-22 18:00:00,RV,3.81
1982-05-23 18:00:00,RV,3.84
1982-05-24 18:00:00,RV,3.84
1982-05-25 18:00:00,RV,4.01
1982-05-26 18:00:00,RV,4.18
1982-05-27 06:00:00,RV,4.11
1982-05-28 06:00:00,RV,3.99
1982-05-29 18:00:00,RV,4.03
1982-05-30 18:00:00,RV,4.08
1982-06-01 06:00:00,RV,4.65
1982-06-02 18:00:00,RV,4.61
1982-06-03 18:00:00,RV,4.88
1982-06-04 18:00:00,RV,4.79
1982-06-05 18:00:00,RV,4.93
1982-06-06 06:00:00,RV,5.19
1982-06-07 18:00:00,RV,5.36
1982-06-08 18:00:00,RV,5.31
1982-06-09 18:00:00,RV,5.5
1982-06-10 18:00:00,RV,5.64
1982-06-11 18:00:00,RV,5.88
1982-06-12 06:00:00,RV,6.15
1982-06-13 18:00:00,RV,6.17
1982-06-14 18:00:00,RV,6.54
1982-06-15 18:00:00,RV,6.51
1982-06-16 18:00:00,RV,6.51
1982-06-17 18:00:00,RV,6.59
1982-06-18 18:00:00,RV,6.62
1982-06-19 06:00:00,RV,6.68
1982-06-20 18:00:00,RV,6.68
1982-06-21 18:00:00,RV,6.76
1982-06-22 06:00:00,RV,7.04
1982-06-23 18:00:00,RV,6.87
1982-06-24 18:00:00,RV,6.82
1982-06-25 06:00:00,RV,6.76
1982-06-26 18:00:00,RV,7.15
1982-06-27 18:00:00,RV,7.15
1982-06-28 18:00:00,RV,7.32
1982-06-29 18:00:00,RV,7.86
1982-06-30 18:00:00,RV,7.89
1982-07-01 18:00:00,RV,7.86
1982-07-02 18:00:00,RV,7.96
1982-07-03 06:00:00,RV,7.86
1982-07-04 18:00:00,RV,7.89
1982-07-05 18:00:00,RV,8.07
1982-07-06 18:00:00,RV,8.17
1982-07-09 18:00:00,RV,8.05
1982-07-10 18:00:00,RV,8.33
1982-07-11 18:00:00,RV,8.36
1982-07-15 06:00:00,RV,8.34
