date,year,fish_count,precipitation,air_temp,stage,discharge,water_temp,luna
2022-07-01,2022,5034,0.0,57.5,9.92,15000,59.72,3
2022-07-02,2022,4212,0.0,56.5,10.02,15200,59.0,4
2022-07-03,2022,5796,0.0,58.5,10.04,15300,57.2,5
2022-07-04,2022,7314,,57.5,10.08,15300,56.84,6
2022-07-05,2022,7386,0.0,55.5,10.03,15200,57.019999999999996,7
2022-07-06,2022,10341,0.0,57.5,10.02,15100,56.84,10
2022-07-07,2022,12973,0.05,56.5,10.02,15200,58.1,11
2022-07-08,2022,13884,0.0,61.5,10.08,15400,57.74,12
2022-07-09,2022,13992,,61.0,10.24,16000,57.2,13
2022-07-10,2022,21424,0.0,54.5,10.33,16500,56.84,14
2022-07-11,2022,20597,0.0,59.5,10.33,16800,57.2,15
2022-07-12,2022,8094,0.0,59.0,10.41,17400,57.74,16
2022-07-13,2022,9636,0.01,55.5,10.5,17800,56.66,20
2022-07-14,2022,5556,0.07,57.5,10.53,17900,56.66,21
2022-07-15,2022,5225,0.29,53.5,10.49,17700,56.3,22
2022-07-16,2022,18780,0.76,56.5,10.45,17700,56.120000000000005,23
2022-07-17,2022,45558,0.41,54.5,10.51,17900,55.22,24
2022-07-18,2022,39697,0.04,57.5,10.46,17600,53.6,25
2022-07-19,2022,74328,0.07,52.0,10.51,17300,52.519999999999996,26
2022-07-20,2022,189420,0.07,53.0,10.41,17300,53.6,30
2022-07-21,2022,155774,0.1,54.0,10.39,17100,53.6,31
2022-07-22,2022,99324,0.0,52.5,10.38,16800,53.96,32
2022-07-23,2022,79950,,48.5,10.27,16500,53.42,33
2022-07-24,2022,101376,,59.0,10.23,16000,54.86,34
2022-07-25,2022,54139,0.12,57.0,10.22,15900,55.400000000000006,35
2022-07-26,2022,44166,0.0,50.5,10.19,15900,52.16,36
2022-07-27,2022,56110,0.0,51.0,10.05,15500,51.980000000000004,37
2022-07-28,2022,32859,0.0,57.0,,15100,53.42,0
2022-07-29,2022,24474,,56.5,,14800,54.14,1
2022-07-30,2022,24594,0.05,57.5,9.78,14600,55.58,2
2022-07-31,2022,16902,0.0,57.0,9.48,14400,56.84,3
2022-08-01,2022,31619,0.12,53.0,9.48,14100,55.94,4
2022-08-02,2022,36152,,52.0,9.41,14000,54.68,5
2022-08-03,2022,21493,0.0,54.5,9.33,13700,55.040000000000006,6
2022-08-04,2022,26351,,54.0,9.17,13600,56.3,7
2022-08-05,2022,29960,0.03,56.0,9.12,13500,58.28,10
2022-08-06,2022,19915,0.0,57.0,9.23,13400,55.76,11
2022-08-07,2022,23752,,53.0,9.2,13300,54.68,12
2022-08-08,2022,21717,0.02,54.0,9.17,13200,54.14,13
2022-08-09,2022,25924,0.0,52.0,9.2,13100,53.78,14
2022-08-10,2022,21212,0.0,56.5,9.18,12900,54.32,15
2022-08-11,2022,26198,0.22,56.5,9.14,12900,55.22,20
2022-08-12,2022,26817,0.11,57.5,9.32,13500,54.5,21
2022-08-13,2022,17310,0.2,56.0,9.42,14100,53.78,22
2022-08-14,2022,6190,0.01,56.0,9.53,14700,54.14,23
2022-08-15,2022,12872,0.31,57.0,9.99,15300,54.32,24
2022-08-16,2022,11353,0.33,56.0,10.09,15900,54.5,25
2021-07-01,2021,7248,0.01,53.0,9.28,14000,48.2,30
2021-07-02,2021,6476,0.02,58.5,9.39,14400,51.08,31
2021-07-03,2021,6430,0.0,52.0,9.44,14400,48.92,32
2021-07-04,2021,6685,0.0,56.0,9.35,14300,48.379999999999995,33
2021-07-05,2021,6122,0.04,50.5,9.17,14100,47.66,34
2021-07-06,2021,11298,0.01,53.5,9.33,14100,49.46,35
2021-07-07,2021,9182,0.0,52.5,9.23,13900,49.1,36
2021-07-08,2021,14040,0.01,49.0,9.05,13600,47.84,37
2021-07-09,2021,10655,0.03,53.5,9.04,13400,49.28,0
2021-07-10,2021,10842,0.14,53.0,8.99,13200,49.46,1
2021-07-11,2021,13986,0.01,58.5,8.92,12900,49.28,2
2021-07-12,2021,16461,0.01,56.0,8.91,12800,49.46,3
2021-07-13,2021,12738,0.05,55.0,8.99,12800,50.540000000000006,4
2021-07-14,2021,9852,0.0,52.5,8.94,12800,51.8,5
2021-07-15,2021,19982,0.0,58.0,8.94,12800,52.34,6
2021-07-16,2021,14727,0.0,60.0,9.03,12900,53.24,7
2021-07-17,2021,16015,0.0,58.5,9.17,13100,53.06,10
2021-07-18,2021,19843,0.0,63.0,9.21,13400,54.68,11
2021-07-19,2021,25731,,57.0,9.3,13700,55.76,12
2021-07-20,2021,85706,0.11,53.0,9.44,14200,55.040000000000006,13
2021-07-21,2021,55920,0.28,56.5,9.49,14500,54.86,14
2021-07-22,2021,32958,0.01,59.5,9.59,14800,,15
2021-07-23,2021,40956,0.01,54.0,9.61,14800,53.78,20
2021-07-24,2021,38526,0.09,54.5,9.52,14700,54.32,21
2021-07-25,2021,57660,0.0,56.5,9.48,14500,53.42,22
