date,year_x,fish_count,precipitation,air_temp,stage,discharge,water_temp,luna,moon_phase,set_location,drift_location,nets
7/1/2022,2022,5034,0,57.5,9.92,15000,59.72,3,New Moon,None,None,no_nets
7/2/2022,2022,4212,0,56.5,10.02,15200,59,4,New Moon,None,Kasilof Section,drift
7/3/2022,2022,5796,0,58.5,10.04,15300,57.2,5,New Moon,None,None,no_nets
7/4/2022,2022,7314,0,57.5,10.08,15300,56.84,6,New Moon,None,District Wide except Chinitna Bay Sub,drift
7/5/2022,2022,7386,0,55.5,10.03,15200,57.02,7,New Moon,None,None,no_nets
7/6/2022,2022,10341,0,57.5,10.02,15100,56.84,10,First Quarter,None,Drift Area 1,drift
7/7/2022,2022,12973,0.05,56.5,10.02,15200,58.1,11,First Quarter,Kasilof Section - NKB 600ft,District Wide except Chinitna Bay Sub,both
7/8/2022,2022,13884,0,61.5,10.08,15400,57.74,12,First Quarter,None,None,no_nets
7/9/2022,2022,13992,0,61,10.24,16000,57.2,13,First Quarter,None,None,no_nets
7/10/2022,2022,21424,0,54.5,10.33,16500,56.84,14,First Quarter,None,None,no_nets
7/11/2022,2022,20597,0,59.5,10.33,16800,57.2,15,First Quarter,"Kenai, Kasilof, & East Forelands Sections","Drift Area 1, Ex Ken/Kas Sec",both
7/12/2022,2022,8094,0,59,10.41,17400,57.74,16,First Quarter,None,None,no_nets
7/13/2022,2022,9636,0.01,55.5,10.5,17800,56.66,20,Full Moon,None,Expanded Kenai & Kasilof Sections,drift
7/14/2022,2022,5556,0.07,57.5,10.53,17900,56.66,21,Full Moon,"Kenai, Kasilof, & East Forelands Sections",Expanded Kenai & Kasilof Sections,both
7/15/2022,2022,5225,0.29,53.5,10.49,17700,56.3,22,Full Moon,None,"Drift Area 1, Ex Ken/Kas Sec",drift
7/16/2022,2022,18780,0.76,56.5,10.45,17700,56.12,23,Full Moon,None,None,no_nets
7/17/2022,2022,45558,0.41,54.5,10.51,17900,55.22,24,Full Moon,None,None,no_nets
7/18/2022,2022,39697,0.04,57.5,10.46,17600,53.6,25,Full Moon,None,"Drift Area 1, Exp. Ken/Kas, & Anchor Pt.",drift
7/19/2022,2022,74328,0.07,52,10.51,17300,52.52,26,Full Moon,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/20/2022,2022,189420,0.07,53,10.41,17300,53.6,30,Third Quarter,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/21/2022,2022,155774,0.1,54,10.39,17100,53.6,31,Third Quarter,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/22/2022,2022,99324,0,52.5,10.38,16800,53.96,32,Third Quarter,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/23/2022,2022,79950,0.04,48.5,10.27,16500,53.42,33,Third Quarter,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/24/2022,2022,101376,0.08,59,10.23,16000,54.86,34,Third Quarter,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/25/2022,2022,54139,0.12,57,10.22,15900,55.4,35,Third Quarter,None,"Drift Area 1, Exp. Ken/Kas, & Anchor Pt.",drift
7/26/2022,2022,44166,0,50.5,10.19,15900,52.16,36,Third Quarter,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/27/2022,2022,56110,0,51,10.05,15500,51.98,37,Third Quarter,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/28/2022,2022,32859,0,57,9.915,15100,53.42,0,New Moon,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/29/2022,2022,24474,0.025,56.5,9.8475,14800,54.14,1,New Moon,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/30/2022,2022,24594,0.05,57.5,9.78,14600,55.58,2,New Moon,None,"Exp. Ken/Kas, & Anchor Pt.",drift
7/31/2022,2022,16902,0,57,9.48,14400,56.84,3,New Moon,None,"Exp. Ken/Kas, & Anchor Pt.",drift
8/1/2022,2022,31619,0.12,53,9.48,14100,55.94,4,New Moon,None,"Drift Area 1, Exp. Ken/Kas, & Anchor Pt.",drift
8/2/2022,2022,36152,0.06,52,9.41,14000,54.68,5,New Moon,None,None,no_nets
8/3/2022,2022,21493,0,54.5,9.33,13700,55.04,6,New Moon,None,None,no_nets
8/4/2022,2022,26351,0.015,54,9.17,13600,56.3,7,New Moon,None,"Drift Area 1, Exp. Ken/Kas, & Anchor Pt.",drift
8/5/2022,2022,29960,0.03,56,9.12,13500,58.28,10,First Quarter,None,None,no_nets
8/6/2022,2022,19915,0,57,9.23,13400,55.76,11,First Quarter,None,None,no_nets
8/7/2022,2022,23752,0.01,53,9.2,13300,54.68,12,First Quarter,None,None,no_nets
8/8/2022,2022,21717,0.02,54,9.17,13200,54.14,13,First Quarter,None,"Drift Area 1, Exp. Ken/Kas, & Anchor Pt.",drift
8/9/2022,2022,25924,0,52,9.2,13100,53.78,14,First Quarter,None,None,no_nets
8/10/2022,2022,21212,0,56.5,9.18,12900,54.32,15,First Quarter,None,None,no_nets
8/11/2022,2022,26198,0.22,56.5,9.14,12900,55.22,20,Full Moon,None,"Drift Area 1, Exp. Ken/Kas, & Anchor Pt.",drift
8/12/2022,2022,26817,0.11,57.5,9.32,13500,54.5,21,Full Moon,None,None,no_nets
8/13/2022,2022,17310,0.2,56,9.42,14100,53.78,22,Full Moon,None,None,no_nets
8/14/2022,2022,6190,0.01,56,9.53,14700,54.14,23,Full Moon,None,None,no_nets
8/15/2022,2022,12872,0.31,57,9.99,15300,54.32,24,Full Moon,None,Drift Areas 3 & 4,drift
8/16/2022,2022,11353,0.33,56,10.09,15900,54.5,25,Full Moon,None,None,no_nets
7/1/2021,2021,7248,0.01,53,9.28,14000,48.2,30,Third Quarter,All except Kenai & E. Forelands Sections,All,both
7/2/2021,2021,6476,0.02,58.5,9.39,14400,51.08,31,Third Quarter,None,None,no_nets
7/3/2021,2021,6430,0,52,9.44,14400,48.92,32,Third Quarter,Kasilof Section - NKB 600ft,Kasilof Section,both
7/4/2021,2021,6685,0,56,9.35,14300,48.38,33,Third Quarter,None,None,no_nets
7/5/2021,2021,6122,0.04,50.5,9.17,14100,47.66,34,Third Quarter,Kasilof Section - NKB 600ft,All,both
7/6/2021,2021,11298,0.01,53.5,9.33,14100,49.46,35,Third Quarter,Kasilof Section - NKB 600ft,Kasilof Section,both
7/7/2021,2021,9182,0,52.5,9.23,13900,49.1,36,Third Quarter,Kasilof Section - NKB 600ft,Kasilof Section,both
7/8/2021,2021,14040,0.01,49,9.05,13600,47.84,37,Third Quarter,Upper Subdistrict,Kasilof Section,both
7/9/2021,2021,10655,0.03,53.5,9.04,13400,49.28,0,New Moon,None,None,no_nets
7/10/2021,2021,10842,0.14,53,8.99,13200,49.46,1,New Moon,None,None,no_nets
