agency_cd	site_no	datetime	698_00060_00003	698_00060_00003_cd	699_80154_00003	699_80154_00003_cd	700_80155_00003	700_80155_00003_cd	701_00010_00001	701_00010_00001_cd	702_00010_00002	702_00010_00002_cd	703_00010_00003	703_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	15266300	2000-01-01	1900	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-02	1900	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-03	1900	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-04	1900	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-05	1900	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-06	1900	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-07	1900	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-08	1900	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-09	1800	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-10	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-11	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-12	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-13	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-14	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-15	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-16	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-17	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-18	1800	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-19	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-20	1800	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-21	1800	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-22	1800	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-23	1800	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-24	1800	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-25	1800	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-01-26	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-27	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-28	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-29	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-30	1800	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-01-31	1800	A:e										
USGS	15266300	2000-02-01	1800	A:e										
USGS	15266300	2000-02-02	1800	A:e										
USGS	15266300	2000-02-03	1700	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-02-04	1700	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-05	1700	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-06	1700	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-07	1700	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-02-08	1700	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-09	1700	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-10	1600	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-02-11	1600	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-02-12	1600	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-02-13	1600	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-02-14	1600	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-15	1600	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-16	1600	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-17	1500	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-18	1500	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-02-19	1500	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-02-20	1500	A:e					0.5	A	0.0	A	0.0	A
